dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1771687485,1,-79.685574,43.561101,0.000000,2.000000,32.112489,96.422337,1,0,143.263478
1771687488,1,-79.686482,43.560536,0.000000,2.020683,32.220784,96.552722,1,0,144.127486
1771687492,1,-79.687689,43.559793,0.000000,2.364504,32.073824,127.767258,1,0,145.383218
1771687495,1,-79.688595,43.559233,0.000000,2.006708,32.044649,96.069322,1,0,146.793614
1771687498,1,-79.689496,43.558674,0.000000,2.000008,31.911866,95.689756,1,0,148.650140
1771687501,1,-79.690395,43.558111,0.000000,2.064635,31.953705,95.861277,1,0,150.846784
1771687504,1,-79.691302,43.557552,0.000000,2.007142,31.997017,96.064124,1,0,153.423404
1771687508,1,-79.692505,43.556805,0.000000,2.000004,31.917355,127.815752,1,0,156.469427
1771687512,1,-79.693716,43.556061,0.000000,2.000000,32.040922,128.092731,1,0,159.500825
1771687515,1,-79.694616,43.555494,0.000000,2.099775,32.257891,96.213086,1,0,161.194790
1771687519,1,-79.695794,43.554716,0.000000,2.735706,32.123240,128.576324,1,0,162.832419
1771687522,1,-79.696660,43.554111,0.000000,2.734253,32.310195,97.029555,1,0,163.686465
1771687526,1,-79.697486,43.553485,0.000000,2.511466,32.071352,96.394979,1,0,164.595584
1771687529,1,-79.698305,43.552848,0.000000,2.017924,32.277281,96.893343,1,0,165.313051
1771687533,1,-79.699352,43.551972,0.000000,2.007832,32.255567,128.962339,1,0,166.330609
1771687536,1,-79.700129,43.551307,0.000000,2.000085,32.264784,96.961301,1,0,166.999364
1771687539,1,-79.700912,43.550645,0.000000,2.612376,32.286304,97.023055,1,0,167.577682
1771687542,1,-79.701694,43.549983,0.000000,2.074142,32.243737,96.970381,1,0,167.848383
1771687545,1,-79.702472,43.549322,0.000000,2.012449,32.290663,96.675624,1,0,168.180086
1771687548,1,-79.703253,43.548662,0.000000,3.002510,32.268600,96.749221,1,0,168.986494
1771687552,1,-79.704286,43.547781,0.000000,2.637765,32.167260,128.645229,1,0,169.526249
1771687555,1,-79.705064,43.547121,0.000000,2.000590,32.167071,96.591272,1,0,169.834230
1771687559,1,-79.706102,43.546240,0.000000,2.005868,32.169846,128.912884,1,0,170.226435
1771687563,1,-79.707141,43.545362,0.000000,2.008402,32.152275,128.712694,1,0,171.027184
1771687566,1,-79.707916,43.544701,0.000000,2.005133,32.151422,96.521988,1,0,171.305387
1771687570,1,-79.708955,43.543825,0.000000,2.552342,32.108317,128.544377,1,0,171.534435
1771687574,1,-79.709980,43.542956,0.000000,2.002122,31.220826,127.216905,1,0,172.293463
1771687577,1,-79.710713,43.542356,0.000000,2.001313,29.214934,89.181109,1,0,173.341346
1771687580,1,-79.711411,43.541814,0.000000,2.515473,27.165294,82.513589,1,0,174.264993
1771687585,1,-79.712500,43.540976,0.000000,2.001727,24.982788,128.119375,1,0,175.065313
1771687589,1,-79.713357,43.540280,0.000000,2.311770,26.498270,103.816232,1,0,176.004081
1771687592,1,-79.714015,43.539742,0.000000,2.409702,26.676730,80.009178,1,0,176.790076
1771687594,1,-79.714681,43.539171,0.000000,2.185427,28.154637,83.201199,1,0,177.240418
1771687597,1,-79.715363,43.538573,0.000000,2.005922,28.656812,86.330585,1,0,177.862026
