dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1781374034,1,-79.675426,43.541214,0.000000,2.000000,18.277560,115.733276,1,0,146.051735
1781374045,1,-79.674242,43.540899,0.000000,2.000000,2.936499,101.891792,1,0,144.109784
1781374077,1,-79.673314,43.540673,0.000000,2.001349,13.138783,79.093858,1,0,142.387949
1781374084,1,-79.671768,43.540293,0.000000,2.000001,17.462279,131.890058,1,0,140.783705
1781374090,1,-79.670592,43.539790,0.000000,2.000000,19.327142,110.258699,1,0,139.492899
1781374097,1,-79.669523,43.539084,0.000000,2.000000,19.451227,116.694228,1,0,138.422245
1781374103,1,-79.668495,43.538368,0.000000,2.000000,19.079742,115.028116,1,0,136.873658
1781374109,1,-79.667538,43.537711,0.000000,2.000000,16.351421,106.356983,1,0,136.088121
1781374118,1,-79.666603,43.537065,0.000000,2.000000,7.288763,104.225420,1,0,135.176617
1781374195,1,-79.665688,43.536430,0.000000,7.087868,14.038725,102.211866,1,0,134.822671
1781374201,1,-79.664756,43.535783,0.000000,7.153245,18.291211,104.126388,1,0,134.764367
1781374207,1,-79.663689,43.535047,0.000000,2.008729,20.383025,118.847806,1,0,134.919059
1781374212,1,-79.662758,43.534402,0.000000,2.000110,20.936422,103.914561,1,0,135.026212
1781374217,1,-79.661797,43.533735,0.000000,2.028477,21.794044,107.356250,1,0,134.514965
1781374223,1,-79.660826,43.533059,0.000000,5.985690,21.863753,108.631435,1,0,133.660926
1781374228,1,-79.659819,43.532364,0.000000,6.082266,22.456065,112.199425,1,0,133.225113
1781374233,1,-79.658805,43.531662,0.000000,6.826894,22.580413,113.145332,1,0,133.242721
1781374238,1,-79.657803,43.530971,0.000000,6.554483,22.341550,111.600338,1,0,132.850418
1781374243,1,-79.656834,43.530307,0.000000,7.659146,21.015656,107.601143,1,0,132.291646
1781374250,1,-79.655819,43.529619,0.000000,7.452450,13.113289,112.137850,1,0,131.976807
1781374279,1,-79.654882,43.528994,0.000000,4.695365,8.206977,102.756517,1,0,132.350306
1781374287,1,-79.653939,43.528361,0.000000,10.188985,14.442009,103.715199,1,0,132.045143
1781374294,1,-79.652949,43.527702,0.000000,4.216112,15.948971,108.471832,1,0,131.289258
1781374301,1,-79.651943,43.527037,0.000000,10.761041,15.220378,109.876792,1,0,130.672343
1781374308,1,-79.650910,43.526354,0.000000,8.832986,16.388533,112.837125,1,0,130.156461
1781374315,1,-79.649903,43.525669,0.000000,4.595636,15.523065,111.442172,1,0,128.828214
1781374322,1,-79.648884,43.524944,0.000000,7.811419,17.034732,115.214815,1,0,124.183485
1781374328,1,-79.647969,43.524270,0.000000,6.580514,17.739286,105.257826,1,0,121.825863
1781374334,1,-79.647073,43.523584,0.000000,3.058001,17.600818,105.146539,1,0,121.626947
1781374340,1,-79.646182,43.522911,0.000000,2.255849,17.078616,103.827377,1,0,121.225848
1781374347,1,-79.645273,43.522260,0.000000,2.038512,17.147703,103.113187,1,0,119.179415
1781374353,1,-79.644383,43.521616,0.000000,2.000164,15.991175,101.474154,1,0,116.270527
1781374361,1,-79.643447,43.520930,0.000000,2.000000,13.556245,107.403767,1,0,114.685676
1781374369,1,-79.642518,43.520244,0.000000,2.026091,12.910118,107.005759,1,0,112.939631
1781374378,1,-79.641614,43.519566,0.000000,3.698880,9.157535,104.957143,1,0,111.323386
1781374397,1,-79.641740,43.518657,0.000000,5.422045,11.054875,101.506778,1,0,111.698015
1781374406,1,-79.642430,43.517794,0.000000,2.539629,11.757759,110.932670,1,0,112.423424
1781374420,1,-79.642623,43.516854,0.000000,2.084882,7.071744,105.597867,1,0,110.883310
1781374430,1,-79.643127,43.515902,0.000000,2.000453,13.940049,113.350120,1,0,111.600600
1781374438,1,-79.643937,43.515153,0.000000,2.000048,12.881102,105.897560,1,0,112.021882
1781374446,1,-79.644719,43.514422,0.000000,2.000000,12.673189,102.927330,1,0,112.609176
1781374461,1,-79.645526,43.513677,0.000000,2.236858,7.798065,105.398372,1,0,114.214069
1781374471,1,-79.646358,43.512935,0.000000,2.013988,10.500979,106.406513,1,0,116.186524
1781374493,1,-79.647172,43.512176,0.000000,2.066856,9.533584,106.974877,1,0,119.327696
1781374527,1,-79.648151,43.511584,0.000000,3.136564,2.129391,102.921863,1,0,122.008637
1781374584,1,-79.647751,43.512437,0.000000,7.693219,4.544830,100.139724,1,0,121.697077
1781375782,1,-79.648594,43.511710,0.000000,8.000591,6.934825,105.692165,1,0,122.172319
1781375805,1,-79.649055,43.510824,0.000000,6.744978,9.355781,105.260501,1,0,123.244169
1781375816,1,-79.649545,43.509924,0.000000,5.496266,10.635406,107.558155,1,0,124.269577
1781375825,1,-79.650415,43.509201,0.000000,2.090053,12.669374,106.778539,1,0,125.971498
1781375835,1,-79.651532,43.508831,0.000000,2.572651,9.209266,99.236362,1,0,127.589353
1781375845,1,-79.652835,43.508427,0.000000,2.015817,10.696435,114.524211,1,0,131.352295
1781375861,1,-79.654073,43.508047,0.000000,2.186098,11.254325,108.652158,1,0,134.482734
1781375870,1,-79.655332,43.507634,0.000000,2.011213,11.917355,111.674769,1,0,136.891188
1781375879,1,-79.656227,43.506941,0.000000,2.369819,12.103563,105.672548,1,0,137.858094
1781375902,1,-79.656996,43.506232,0.000000,2.293118,0.390622,100.361797,1,0,137.597676
1781375921,1,-79.657830,43.505529,0.000000,2.150031,5.156236,103.195426,1,0,137.466455
1781375938,1,-79.658888,43.506173,0.000000,2.006197,14.256203,111.533704,1,0,139.026911
1781375945,1,-79.659762,43.506810,0.000000,2.441030,18.154615,100.021754,1,0,140.213735
1781375951,1,-79.660715,43.507496,0.000000,8.556064,16.130617,108.390392,1,0,143.010113
1781375957,1,-79.661698,43.508217,0.000000,3.751042,18.047637,112.854786,1,0,145.880612
1781375963,1,-79.662676,43.508907,0.000000,2.007780,18.270770,110.145989,1,0,148.817730
1781375969,1,-79.663574,43.509593,0.000000,2.000024,15.809898,105.274633,1,0,151.639931
1781375978,1,-79.664519,43.510243,0.000000,2.040945,9.121346,105.145147,1,0,151.743190
1781376006,1,-79.665386,43.510894,0.000000,5.203688,13.040980,100.733732,1,0,151.215423
1781376012,1,-79.666280,43.511552,0.000000,8.618737,17.723738,102.816979,1,0,150.528789
1781376018,1,-79.667177,43.512227,0.000000,5.109703,16.884268,104.336971,1,0,150.778459
1781376025,1,-79.668175,43.512971,0.000000,6.210875,16.868371,115.527038,1,0,151.378647
1781376030,1,-79.669075,43.513639,0.000000,8.405851,16.941384,103.944870,1,0,152.146813
1781376037,1,-79.669992,43.514283,0.000000,5.066568,13.373213,103.042730,1,0,152.617465
1781376062,1,-79.670964,43.514993,0.000000,13.316430,10.766414,111.356491,1,0,153.666388
1781376071,1,-79.671896,43.515691,0.000000,4.863110,14.494114,108.137558,1,0,155.335383
1781376078,1,-79.672797,43.516348,0.000000,10.905910,15.038790,103.132956,1,0,156.925443
1781376086,1,-79.673753,43.517029,0.000000,11.342050,13.307852,108.169420,1,0,157.759285
1781376094,1,-79.674724,43.517745,0.000000,4.463545,14.004764,111.772988,1,0,157.731439
1781376102,1,-79.675690,43.518474,0.000000,13.067729,14.129474,112.520261,1,0,158.035377
1781376109,1,-79.676570,43.519118,0.000000,8.640185,15.325168,100.907346,1,0,159.039333
1781376116,1,-79.677557,43.519817,0.000000,7.428887,16.109628,111.355737,1,0,160.323470
1781376123,1,-79.678564,43.520550,0.000000,8.317106,15.970251,115.160080,1,0,160.529476
1781376131,1,-79.679459,43.521210,0.000000,9.327425,9.574377,103.023850,1,0,160.653124
1781376178,1,-79.680346,43.521870,0.000000,6.244616,12.168605,102.570548,1,0,161.550467
1781376187,1,-79.681246,43.522537,0.000000,8.791642,8.182057,103.861732,1,0,162.204428
1781376214,1,-79.682493,43.522116,0.000000,7.090186,14.600177,111.147447,1,0,162.797029
1781376221,1,-79.683289,43.521362,0.000000,9.064150,14.256443,105.642179,1,0,163.245405
1781376233,1,-79.684041,43.520636,0.000000,4.487136,2.611755,101.012064,1,0,163.846393
1781376324,1,-79.683473,43.519819,0.000000,11.461562,5.691316,101.729752,1,0,162.769182
1781376962,1,-79.684711,43.519917,0.000000,44.715090,-1.000000,100.688420,1,0,164.388593
1781376969,1,-79.685856,43.518869,0.000000,51.856301,-1.000000,148.757437,1,0,166.498593
1781376975,1,-79.687436,43.517844,0.000000,66.744701,-1.000000,171.141931,1,0,166.498593
1781377004,1,-79.690307,43.518362,0.000000,30.811836,-1.000000,239.161750,1,0,168.778593
1781377036,1,-79.692995,43.518426,0.000000,39.998538,-1.000000,217.453600,1,0,171.108593
1781377042,1,-79.694392,43.518603,0.000000,39.782802,-1.000000,114.653131,1,0,171.108593
1781377049,1,-79.695711,43.518596,0.000000,35.372729,-1.000000,106.650142,1,0,171.108593
1781377055,1,-79.696994,43.518797,0.000000,19.687665,16.131052,106.113163,1,0,173.218593
1781377068,1,-79.698539,43.519912,0.000000,39.782186,-1.000000,175.932227,1,0,175.378593
1781377077,1,-79.699863,43.520674,0.000000,39.940815,-1.000000,136.483801,1,0,175.378593
